Cell ID,AT2G46830,AT5G61380,CT,Cluster
0,0.0,0.0,CT24,R0
1,0.0,0.0,CT24,S0
2,1.9540108,0.0,CT24,S6
3,0.0,0.0,CT24,S1
4,0.0,0.0,CT24,R6
5,0.0,0.0,CT24,R3
6,0.0,0.0,CT24,S1
7,0.0,0.0,CT24,R6
8,2.2834606,0.0,CT24,S4
9,2.4015396,0.0,CT24,R0
10,3.1338377,0.0,CT24,S0
11,2.8445797,0.0,CT24,S1
12,0.0,0.0,CT24,S1
13,0.0,0.0,CT24,V3
14,2.3132746,2.3132746,CT24,S10
15,0.0,0.0,CT24,S12
16,0.0,2.4331756,CT24,V0
17,1.889313,0.0,CT24,S0
18,0.0,0.0,CT24,S2
19,2.4379303,0.0,CT24,S3
20,0.0,0.0,CT24,S1
21,0.0,0.0,CT24,S3
22,0.0,0.0,CT24,V1
23,0.0,0.0,CT24,S1
24,2.2122989,1.8601133,CT24,S12
25,0.0,0.0,CT24,S5
26,2.4322278,0.0,CT24,S7
27,0.0,0.0,CT24,S0
28,0.0,0.0,CT24,R0
29,2.161758,0.0,CT24,S10
30,0.0,0.0,CT24,R0
31,0.0,0.0,CT24,S1
32,0.0,0.0,CT24,R1
33,0.0,0.0,CT24,R3
34,0.0,0.0,CT24,R0
35,0.0,0.0,CT24,R0
36,2.3848166,0.0,CT24,S1
37,3.035048,0.0,CT24,R4
38,0.0,0.0,CT24,S2
39,0.0,0.0,CT24,R1
40,0.0,0.0,CT24,S7
41,2.195094,2.195094,CT24,S8
42,2.0334115,0.0,CT24,S0
43,2.7970655,0.0,CT24,S6
44,0.0,0.0,CT24,S3
45,2.0363026,1.4658245,CT24,S0
46,0.0,2.5178988,CT24,R4
47,1.9783123,0.0,CT24,S1
48,2.4465575,0.0,CT24,S1
49,2.0749047,0.0,CT24,V0
50,0.0,0.0,CT24,R4
51,0.0,0.0,CT24,S0
52,0.0,0.0,CT24,S2
53,0.0,0.0,CT24,S5
54,2.4809742,2.4809742,CT24,S10
55,0.0,0.0,CT24,S3
56,3.2426019,0.0,CT24,S1
57,0.0,0.0,CT24,S1
58,1.7314786,0.0,CT24,S0
59,2.0012033,0.0,CT24,R3
60,2.6601107,0.0,CT24,S4
61,0.0,0.0,CT24,S0
62,0.0,0.0,CT24,V1
63,2.207963,0.0,CT24,S5
64,1.7777317,0.0,CT24,S0
65,0.0,0.0,CT24,S1
66,2.449453,0.0,CT24,S2
67,2.8384995,0.0,CT24,S1
68,0.0,0.0,CT24,S0
69,0.0,0.0,CT24,S3
70,0.0,2.2732387,CT24,V0
71,0.0,0.0,CT24,S6
72,0.0,0.0,CT24,R4
73,2.4779685,0.0,CT24,R1
74,2.2295103,0.0,CT24,R1
75,0.0,0.0,CT24,S3
76,3.358264,0.0,CT24,V0
77,0.0,0.0,CT24,R6
78,0.0,2.3306916,CT24,R3
79,0.0,0.0,CT24,R0
80,3.3116999,0.0,CT24,S8
81,0.0,0.0,CT24,S7
82,0.0,0.0,CT24,R5
83,2.5608974,0.0,CT24,S9
84,1.8681726,0.0,CT24,R1
85,0.0,0.0,CT24,R7
86,2.7813034,0.0,CT24,S0
87,0.0,2.7658179,CT24,V0
88,0.0,0.0,CT24,V2
89,2.2022178,0.0,CT24,R1
90,2.7784677,0.0,CT24,S0
91,0.0,1.8845624,CT24,S9
92,0.0,0.0,CT24,R2
93,0.0,0.0,CT24,S8
94,2.8572528,0.0,CT24,S0
95,0.0,0.0,CT24,R0
96,0.0,0.0,CT24,S6
97,0.0,0.0,CT24,S0
98,0.0,0.0,CT24,S1
99,0.0,0.0,CT24,R2
100,0.0,0.0,CT24,S1
101,0.0,0.0,CT24,R0
102,0.0,2.0996513,CT24,S0
103,1.7376273,0.0,CT24,S0
104,0.0,0.0,CT24,R3
105,2.5923355,0.0,CT24,R0
106,0.0,0.0,CT24,R5
107,0.0,0.0,CT24,S0
108,0.0,0.0,CT24,S1
109,1.6913382,0.0,CT24,S0
110,1.7579904,0.0,CT24,S0
111,0.0,0.0,CT24,V1
112,0.0,0.0,CT24,S0
113,2.5337706,0.0,CT24,S0
114,0.0,0.0,CT24,R3
115,0.0,0.0,CT24,S8
116,0.0,0.0,CT24,V2
117,2.4700055,0.0,CT24,S0
118,0.0,0.0,CT24,S1
119,2.0000975,0.0,CT24,S1
120,2.5445182,0.0,CT24,S0
121,0.0,0.0,CT24,S10
122,0.0,0.0,CT24,S2
123,0.0,0.0,CT24,S1
124,1.9634272,0.0,CT24,S0
125,0.0,0.0,CT24,R7
126,2.311635,0.0,CT24,R3
127,2.5072207,0.0,CT24,S0
128,0.0,0.0,CT24,S8
129,2.9184804,0.0,CT24,R1
130,0.0,0.0,CT24,R1
131,0.0,0.0,CT24,R1
132,0.0,2.5911927,CT24,S8
133,0.0,0.0,CT24,R3
134,1.8732843,0.0,CT24,S0
135,0.0,0.0,CT24,R6
136,0.0,0.0,CT24,S2
137,0.0,0.0,CT24,S2
138,2.4455945,0.0,CT24,S10
139,0.0,0.0,CT24,S0
140,2.2592943,0.0,CT24,V3
141,0.0,2.4719892,CT24,R3
142,0.0,0.0,CT24,S0
143,0.0,0.0,CT24,R1
144,0.0,0.0,CT24,S2
145,0.0,0.0,CT24,S7
146,1.7976167,0.0,CT24,R0
147,0.0,0.0,CT24,S10
148,1.8883605,1.3361222,CT24,R0
149,2.0724728,0.0,CT24,S0
150,0.0,0.0,CT24,S1
151,2.2670116,0.0,CT24,S0
152,1.7114898,0.0,CT24,R6
153,1.6938705,0.0,CT24,S0
154,3.068649,2.4209378,CT24,S1
155,0.0,0.0,CT24,S0
156,2.7609472,0.0,CT24,S3
157,2.4407964,0.0,CT24,R0
158,0.0,0.0,CT24,S2
159,0.0,0.0,CT24,S3
160,0.0,0.0,CT24,R0
161,1.962375,0.0,CT24,S5
162,0.0,0.0,CT24,R0
163,3.0647454,0.0,CT24,S2
164,2.1028006,0.0,CT24,R1
165,2.644787,0.0,CT24,S2
166,0.0,0.0,CT24,R0
167,0.0,0.0,CT24,S1
168,2.6405444,0.0,CT24,V0
169,0.0,0.0,CT24,R1
170,0.0,2.2115746,CT24,R0
171,0.0,0.0,CT24,S1
172,0.0,0.0,CT24,R0
173,2.8880765,1.8950546,CT24,S0
174,0.0,0.0,CT24,S0
175,0.0,0.0,CT24,V1
176,2.33153,0.0,CT24,S3
177,0.0,0.0,CT24,R3
178,2.2677875,0.0,CT24,S5
179,2.2771552,0.0,CT24,V0
180,0.0,0.0,CT24,R1
181,0.0,0.0,CT24,R7
182,1.8548651,0.0,CT24,S4
183,2.4190707,0.0,CT24,S4
184,0.0,0.0,CT24,S8
185,2.4714928,0.0,CT24,S1
186,2.7609472,0.0,CT24,R4
187,2.7891493,0.0,CT24,R5
188,0.0,0.0,CT24,S0
189,2.80214,0.0,CT24,S4
190,2.140949,0.0,CT24,S0
191,2.3553658,0.0,CT24,S5
192,0.0,0.0,CT24,S0
193,2.3374248,0.0,CT24,S0
194,2.2986348,0.0,CT24,R0
195,2.4504204,0.0,CT24,S8
196,2.412569,0.0,CT24,V3
197,0.0,0.0,CT24,S1
198,1.3664522,0.0,CT24,R6
199,0.0,0.0,CT24,S0
200,0.0,2.3915558,CT24,S5
201,0.0,0.0,CT24,S0
202,2.2166584,0.0,CT24,S0
203,0.0,0.0,CT24,S10
204,0.0,0.0,CT24,S3
205,0.0,0.0,CT24,R3
206,2.033989,0.0,CT24,R3
207,0.0,0.0,CT24,S1
208,0.0,2.0574436,CT24,R1
209,0.0,0.0,CT24,S6
210,2.2810905,0.0,CT24,S0
211,0.0,0.0,CT24,S3
212,0.0,0.0,CT24,R4
213,0.0,0.0,CT24,S5
214,0.0,0.0,CT24,S10
215,2.0804048,0.0,CT24,R6
216,0.0,0.0,CT24,S3
217,2.0450408,0.0,CT24,S0
218,0.0,0.0,CT24,S4
219,2.0084305,0.0,CT24,S3
220,0.0,0.0,CT24,S0
221,0.0,0.0,CT24,R1
222,0.0,0.0,CT24,S6
223,0.0,0.0,CT24,S2
224,3.148305,0.0,CT24,S3
225,0.0,0.0,CT24,R0
226,0.0,0.0,CT24,S0
227,0.0,1.9493465,CT24,S12
228,1.8001418,0.0,CT24,S0
229,0.0,0.0,CT24,S0
230,0.0,0.0,CT24,R4
231,0.0,0.0,CT24,V1
232,0.0,0.0,CT24,V1
233,0.0,0.0,CT24,R0
234,1.644584,0.0,CT24,R4
235,1.9660637,1.9660637,CT24,R6
236,3.3119123,0.0,CT24,S0
237,0.0,1.6418918,CT24,R0
238,0.0,0.0,CT24,R3
239,0.0,0.0,CT24,S6
240,2.7870026,0.0,CT24,S0
241,0.0,0.0,CT24,V1
242,2.429391,0.0,CT24,S0
243,2.174096,0.0,CT24,R6
244,0.0,0.0,CT24,R3
245,2.6460028,0.0,CT24,S0
246,2.1009095,0.0,CT24,S0
247,0.0,0.0,CT24,S9
248,2.8109076,0.0,CT24,S5
249,1.8562305,0.0,CT24,R3
250,0.0,0.0,CT24,S1
251,2.661968,0.0,CT24,S0
252,0.0,0.0,CT24,S14
253,0.0,0.0,CT24,S1
254,0.0,0.0,CT24,S1
255,0.0,2.2850447,CT24,V0
256,2.3206937,0.0,CT24,S0
257,2.4650664,0.0,CT24,S2
258,3.2518675,0.0,CT24,S0
259,2.3306916,0.0,CT24,R0
260,0.0,0.0,CT24,S2
261,0.0,0.0,CT24,R1
262,2.9411292,0.0,CT24,V0
